154.152,162.55,150.417,149.669,152.37,141.347,141.273
141.83,143.327,138.944,140.183,140.278,128.99,128.738
146.948,140.938,144.9,144.359,144.882,132.007,131.079
140.779,141.005,130.987,128.922,136.934,126.899,121.233
142.321,147.476,144.375,140.73,143.722,132.739,132.73
81.5902,77.5051,74.5509,59.4513,64.4805,4.02882,37.7135
50.9644,53.185,55.7787,38.631,2000,34.2466,52.6912
90.4721,85.7296,74.5296,46.3299,77.7881,56.9128,74.3744
74.3088,72.9703,29.5936,71.4924,52.124,57.4188,35.9293
82.0693,77.9734,76.3079,39.3288,70.6491,70.9867,58.2767
-48.4875,-92.3575,-10.9395,-49.5497,-54.3628,-92.5921,-36.1287
-69.0537,-62.5972,-151.779,-135.319,-104.892,-93.6125,-108.315
-137.92,-162.786,-191.108,-162.503,-155.021,-119.088,-130.638
-189.031,-191.555,-220.064,-164.133,-163.287,-147.243,-153.173
-263.549,-203.555,-237.996,-189.384,-231.549,-210.851,-172.187
-214.03,-280.92,-222.831,-237.181,-266.882,-227.443,-313.936
-273.59,-286.253,-233.01,-260.491,-258.207,-231.556,-219.431
-299.634,-274.857,-335.082,-353.583,-332.25,-339.34,-306.463
-152.799,-225.796,-226.576,-221.055,-192.156,-147.067,-196.43
-292.552,-306.148,-278.324,-249.759,-210.172,-276.149,-253.989
-146.514,-185.103,-219.419,-230.361,-184.962,-154.317,-220.463
-352.024,-339.305,-329.241,-346.72,-320.758,-284.357,-333.751
-257.848,-290.73,-260.832,-264.817,-254.071,-257.238,-192.622
-336.669,-381.234,-330.308,-373.15,-366.981,-416.687,-384.307
-156.978,-115.284,-191.748,-196.59,-110.772,-125.788,-171.154
-122.997,-130.778,-84.5323,-84.301,-97.2758,-159.397,-87.4229
-157.281,-109.519,-165.344,-123.708,-131.945,-129.593,-185.618
-127.12,-129.087,-134.068,-118.743,-124.386,-197.971,-178.123
-77.6115,-94.6781,-72.931,-122.685,-77.5232,-117.001,-152.088
-135.312,-127.183,-76.2788,-82.5754,-72.2906,-86.5102,-128.981
-40.3599,-45.5609,-44.3801,-40.3745,-37.6215,-32.6767,-32.9376
49.3541,69.2346,58.0531,66.9365,70.2664,64.8901,65.0764
91.0376,85.7038,57.1822,90.3802,84.7074,78.183,80.7373
116.234,115.142,99.5543,113.73,113.682,95.6217,98.6253
107.313,113.773,106.414,99.4867,101.559,94.3788,88.873
134.788,135.177,135.418,126.309,131.777,114.601,115.234
150.666,146.945,140.776,140.117,147.498,120.875,132.096
159.31,161.836,157.859,153.121,152.354,142.347,127.886
148.543,155.566,144.349,141.687,140.649,131.48,129.15
140.018,151.031,139.169,139.346,139.75,130.362,126.231
149.852,145.949,143.121,135.735,145.536,134.831,134.824
164.846,163.948,153.272,151.003,151.81,140.208,141.669
158.515,150.982,151.202,153.304,150.898,141.264,142.273
154.835,154.854,153.842,149.296,145.173,139.355,135.794
152.223,143.415,146.464,140.144,136.113,124.709,127.221
136.333,136.587,137.49,136.571,135.757,123.602,124.328
141.722,143.242,139.246,138.398,137.392,127.532,127.55
150.541,140.089,139.49,139.922,144.81,129.796,129.38
158.386,155.444,152.257,155.779,146.279,142.198,142.139
156.184,157.754,146.894,143.086,150.076,134.351,135.787
140.055,143.322,138.29,140.879,143.777,125.838,123.452
148.683,149.903,140.982,141.85,140.192,127.585,127.665
150.633,153.141,149.59,150.421,152.898,136.475,135.459
152.078,148.882,151.068,149.321,148.498,136.752,136.86
132.391,146.123,137.162,133.918,136.124,130.489,126.173
159.439,161.58,154.492,152.769,150.694,142.8,141.464
137.788,140.093,137.58,134.283,141.46,126.044,125.34
147.3,147.894,140.543,143.431,145.007,133.106,133.234
148.371,150.06,143.583,146.095,149.806,135.687,136.576
158.827,158.866,149.027,157.474,153.78,142.964,142.342
0,0,0,0,0,0,0
165.145,165.198,158.792,160.844,157.231,146.886,146.887
