392,0,4,4,0,0
373,19,4,4,0,0
373,19,4,4,0,0
373,19,4,4,0,0
373,17,6,4,0,0
373,16,7,4,0,0
373,15,8,4,0,0
373,9,13,4,1,0
356,23,16,4,1,0
243,132,19,4,2,0
234,140,20,4,2,0
212,158,24,4,2,0
167,187,40,4,2,0
118,221,55,4,2,0
93,235,66,4,2,0
60,248,84,6,2,0
25,246,120,6,3,0
13,220,157,6,4,0
6,197,184,9,4,0
3,165,216,10,6,0
3,133,247,11,6,0
2,98,274,16,10,0
2,83,285,18,11,1
2,51,312,21,13,1
2,33,327,24,13,1
2,18,337,28,14,1
2,11,329,44,13,1
2,10,314,59,14,1
2,1,312,70,14,1
2,1,294,88,14,1
2,1,262,121,13,1
1,2,233,150,13,1
1,2,206,177,13,1
1,2,174,209,13,1
1,1,143,240,13,2
1,1,110,276,10,2
0,2,96,292,8,2
0,2,64,326,6,2
0,2,46,345,5,2
0,2,32,359,5,2
0,2,22,369,5,2
0,0,20,374,3,3
0,0,10,387,1,2
0,0,6,392,0,2
0,0,5,393,0,2
0,0,2,396,0,2
0,0,1,397,0,2
0,0,1,397,0,2
0,0,1,397,0,2
0,0,1,397,0,2
0,0,1,397,0,2
0,0,1,397,0,2
0,0,1,397,0,2
0,0,1,397,0,2
0,0,1,398,0,1
0,0,1,398,0,1
0,0,1,398,0,1
0,0,1,398,0,1
0,0,0,399,0,1
0,0,0,399,0,1
0,0,0,399,0,1
0,0,0,400,0,0
